Timestamp,Email Address,Score,Sex,Which category describes you? Select all that apply. ,Are you a student? ,"1. When I am working on something, I cannot relax until it is perfect ",2. One of my goals is to be perfect in everything I do ,3. I never aim for perfection in my work,4. I seldom feel the need to be perfect,5. I strive to be as perfect as I can be,6. It is very important that I am perfect in everything I attempt ,7. I strive to be best at everything I do,8. I demand nothing less than perfection from myself ,9. It makes me uneasy to see an error in my work,10. I am perfectionistic in setting my goals ,11. I must work to my full potential at all times,12. I do not have to be the best at whatever I am doing,13. I do not have very high goals for myself,14. I set very high standards for myself ,15. I must always be successful at school or work,total score: SOP,SOP_category,16. I find it difficult to meet others' expectations of me ,17. Those around me readily accept that I can make mistakes too,"18. The better I do, the better I am expected to do",19. Anything I do that is less than excellent will be seen as poor work by those around me,20. The people around me expect me to succeed at everything I do,21. Others will like me even if I don't excel at everything ,22. Success means that I work even harder to please others,"23. Others think I am okay, even when I do not succeed",24. I feel that people are too demanding of me,"25. Although they may not show it, other people get very upset with me when I slip up",26.  My family expects me to be perfect,27. My parents rarely expected me to excel in all aspects of my life,28. People expect nothing less than perfectionism from me,29. People expect more from me than I am capable ,30. People around me think I am still competent even if I make a mistake,total score; SPP,Category,31. I prefer to do most things myself rather than ask for help,"32.  I get very impatient when I have to wait for someone else or when something takes too long, such as long-slow moving lines",33. I seem to be in a hurry and racing against the clock,34.  I get irritated when I am interrupted while I am in the middle of something,35. I stay busy and keep many irons in the fire,"36.  I find myself doing two or three things at one time, such as eating lunch and writing a memo, while talking on the telephone",37.  I overly commit myself by biting off more than I can chew,38. I feel guilty when I am not working on something,39.  It is important that I see the concrete results of what I do,40.  I am more interested in the final result of my work than in the process,41. Things just never seem to move fast enough or get done fast enough for me,42. I lose my temper when things don’t go my way or work out to suit me,"43. I ask the same question over again, without realizing it, after I've already been given the answer once",44.  I spend a lot of time mentally planning and thinking about future events while tuning out the here and now,45. I find myself still working after my co-workers have called it quits,46. I get angry when people don’t meet my standards of perfection,47. I get upset when I am in situations where I cannot be in control,48. I tend to put myself under pressure with self-imposed deadlines when I work,49.  It is hard for me to relax when I’m not working,"50. I spend more time working than on socializing with friends, on hobbies or on leisure activities",51. I dive into projects to get a head start before all the phases have been finalized,52.  I get upset with myself for making even the smallest mistake,"53.  I put more thought, time, and energy into my work than I do into my relationships, with my spouse, (or lover) and family","54. I forget, ignore or minimize important family celebrations such as birthdays, reunions, anniversaries or holidays",55.  I make important decisions before I have all the facts and have a chance to think them through thoroughly,total sum score for WART,Risk category WART,Column 1
2/28/2025 1:18:56,,,Female,Multiethnic,Not a UCSD student,4,3,7,7,5,2,1,1,5,2,1,2,4,4,2,50,low,4,5,3,2,1,2,2,2,1,6,1,4,1,5,2,41,low,3,2,3,2,3,3,3,3,3,2,3,2,1,3,2,2,3,2,2,2,3,2,1,2,2,59,medium,
2/18/2025 16:26:02,,,Male,White,UCSD student,5,3,6,5,6,2,4,3,5,3,3,3,6,5,3,62,medium,5,3,5,5,3,2,4,4,3,5,4,2,4,3,2,54,low,2,1,3,2,3,3,4,4,4,2,2,1,2,4,3,1,2,3,3,3,3,2,1,2,1,61,medium,
2/25/2025 17:10:56,,,Male,Asian,Not a UCSD student,5,6,6,6,7,4,6,3,5,6,6,4,7,7,5,83,medium,5,3,6,4,7,3,4,7,3,3,2,5,5,4,2,63,medium,4,3,3,3,4,4,3,3,4,2,2,2,1,2,3,2,4,3,3,3,2,4,2,2,1,69,high,
2/26/2025 9:00:25,,,Female,"Asian, Middle Eastern or North African",Not a UCSD student,5,3,2,6,1,1,7,1,4,3,5,3,7,7,7,62,medium,1,1,5,1,3,1,1,1,1,1,4,7,1,1,1,30,low,4,3,2,4,4,1,1,2,4,3,3,2,1,1,3,2,4,4,2,1,2,2,1,2,4,62,medium,
2/26/2025 15:58:39,,,Male,Asian,Not a UCSD student,6,5,6,6,6,5,6,6,6,4,5,6,6,6,6,85,medium,2,4,6,4,6,3,2,5,6,4,6,6,4,3,3,64,medium,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,4,2,3,3,2,2,2,1,63,medium,
2/26/2025 23:44:39,,,Female,Asian,Not a UCSD student,5,2,7,6,2,3,5,2,5,3,3,2,6,6,6,63,medium,3,3,5,3,5,3,5,3,5,3,5,6,2,2,2,55,low,3,2,2,4,4,2,2,3,4,4,4,3,2,3,3,1,1,3,3,3,3,2,3,1,1,66,medium,
2/27/2025 14:30:20,,,Female,Middle Eastern or North African,Not a UCSD student,3,3,5,5,3,3,3,3,4,5,3,3,6,6,6,61,medium,6,3,5,5,5,5,3,3,5,4,4,3,5,5,3,64,medium,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,62,medium,
2/27/2025 15:44:01,,,Female,"Hispanic, Latino or Spanish Origin",Not a UCSD student,5,3,6,6,4,3,5,3,6,3,5,3,7,7,7,73,medium,1,3,6,6,7,6,5,3,1,2,3,5,3,2,1,54,low,3,2,3,2,4,4,4,4,4,2,3,2,3,4,4,1,3,4,4,4,3,2,4,3,1,77,high,
2/27/2025 15:52:17,,,Female,"Asian, Hispanic, Latino or Spanish Origin, Multiethnic",UCSD student,5,4,5,4,4,3,6,3,6,6,6,3,7,6,6,74,medium,3,2,4,2,5,2,5,3,5,3,6,7,1,3,3,54,low,2,3,4,3,3,4,4,4,4,3,2,2,3,3,3,2,1,3,2,1,2,1,1,1,2,63,medium,
2/27/2025 16:07:39,,,Female,White,Not a UCSD student,5,6,6,6,6,6,7,7,7,5,5,3,7,7,7,90,medium,2,2,6,4,7,1,6,1,2,3,6,7,5,2,1,55,low,3,2,2,2,4,4,3,3,3,3,2,1,1,4,3,1,2,3,3,3,3,2,2,2,1,62,medium,
2/27/2025 16:25:00,,,Female,"Asian, Black or African American, Multiethnic",Not a UCSD student,5,3,7,4,7,1,6,2,6,2,4,2,5,6,5,65,medium,2,2,6,5,4,1,1,2,4,1,1,4,1,1,2,37,low,1,3,2,2,1,1,2,3,3,3,1,2,2,3,3,1,2,4,1,3,1,1,1,1,3,50,low,
2/27/2025 16:30:47,,,Female,Asian,UCSD student,7,6,7,7,5,5,5,3,6,4,5,4,6,5,5,80,medium,4,4,5,5,3,3,5,4,3,3,3,5,3,3,3,56,low,3,4,2,4,3,2,2,3,3,2,2,1,2,4,2,2,3,4,2,2,2,4,1,1,2,62,medium,
